InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536392,22150,3 STRIPEY MICE FELTCRAFT,6,12/1/2010 10:29,1.95,13705.0,United Kingdom
536392,22619,SET OF 6 SOLDIER SKITTLES,4,12/1/2010 10:29,3.75,13705.0,United Kingdom
536392,21891,TRADITIONAL WOODEN SKIPPING ROPE,12,12/1/2010 10:29,1.25,13705.0,United Kingdom
536392,21889,WOODEN BOX OF DOMINOES,12,12/1/2010 10:29,1.25,13705.0,United Kingdom
536392,22827,RUSTIC  SEVENTEEN DRAWER SIDEBOARD,1,12/1/2010 10:29,165.0,13705.0,United Kingdom
536392,22127,PARTY CONES CARNIVAL ASSORTED,12,12/1/2010 10:29,1.25,13705.0,United Kingdom
536392,22128,PARTY CONES CANDY ASSORTED,12,12/1/2010 10:29,1.25,13705.0,United Kingdom
536392,22502,PICNIC BASKET WICKER SMALL,4,12/1/2010 10:29,5.95,13705.0,United Kingdom
536392,84879,ASSORTED COLOUR BIRD ORNAMENT,16,12/1/2010 10:29,1.69,13705.0,United Kingdom
536392,22338,STAR DECORATION PAINTED ZINC ,24,12/1/2010 10:29,0.65,13705.0,United Kingdom
536401,22110,BIRD HOUSE HOT WATER BOTTLE,1,12/1/2010 11:21,2.55,15862.0,United Kingdom
536401,22098,BOUDOIR SQUARE TISSUE BOX,1,12/1/2010 11:21,1.25,15862.0,United Kingdom
536401,22100,SKULLS SQUARE TISSUE BOX,2,12/1/2010 11:21,1.25,15862.0,United Kingdom
536401,22766,PHOTO FRAME CORNICE,1,12/1/2010 11:21,2.95,15862.0,United Kingdom
536401,22451,SILK PURSE BABUSHKA RED,1,12/1/2010 11:21,3.35,15862.0,United Kingdom
536401,22549,PICTURE DOMINOES,1,12/1/2010 11:21,1.45,15862.0,United Kingdom
536401,84744,S/6 SEW ON CROCHET FLOWERS,1,12/1/2010 11:21,1.25,15862.0,United Kingdom
536401,85049E,SCANDINAVIAN REDS RIBBONS,2,12/1/2010 11:21,1.25,15862.0,United Kingdom
536401,21328,BALLOONS  WRITING SET ,1,12/1/2010 11:21,1.65,15862.0,United Kingdom
536401,22961,JAM MAKING SET PRINTED,4,12/1/2010 11:21,1.45,15862.0,United Kingdom
536401,17091A,LAVENDER INCENSE IN TIN,1,12/1/2010 11:21,1.25,15862.0,United Kingdom
536401,22473,TV DINNER TRAY VINTAGE PAISLEY,1,12/1/2010 11:21,4.95,15862.0,United Kingdom
536401,84509A,SET OF 4 ENGLISH ROSE PLACEMATS,2,12/1/2010 11:21,3.75,15862.0,United Kingdom
536401,84510A,SET OF 4 ENGLISH ROSE COASTERS,2,12/1/2010 11:21,1.25,15862.0,United Kingdom
536401,22767,TRIPLE PHOTO FRAME CORNICE ,2,12/1/2010 11:21,9.95,15862.0,United Kingdom
536401,22768,FAMILY PHOTO FRAME CORNICE,1,12/1/2010 11:21,9.95,15862.0,United Kingdom
536401,21463,MIRRORED DISCO BALL ,1,12/1/2010 11:21,5.95,15862.0,United Kingdom
536401,21464,DISCO BALL ROTATOR BATTERY OPERATED,1,12/1/2010 11:21,4.25,15862.0,United Kingdom
536401,20820,SILVER LOOKING MIRROR,3,12/1/2010 11:21,4.95,15862.0,United Kingdom
536401,85150,LADIES & GENTLEMEN METAL SIGN,1,12/1/2010 11:21,2.55,15862.0,United Kingdom
536401,22117,METAL SIGN HER DINNER IS SERVED ,1,12/1/2010 11:21,2.95,15862.0,United Kingdom
536401,21169,YOU'RE CONFUSING ME METAL SIGN ,2,12/1/2010 11:21,1.69,15862.0,United Kingdom
536401,48129,DOORMAT TOPIARY,1,12/1/2010 11:21,7.95,15862.0,United Kingdom
536401,82580,BATHROOM METAL SIGN,1,12/1/2010 11:21,0.55,15862.0,United Kingdom
536401,82578,KITCHEN METAL SIGN,1,12/1/2010 11:21,0.55,15862.0,United Kingdom
536401,82581,TOILET METAL SIGN,2,12/1/2010 11:21,0.55,15862.0,United Kingdom
536401,22413,METAL SIGN TAKE IT OR LEAVE IT ,4,12/1/2010 11:21,2.95,15862.0,United Kingdom
